"행정구역","2013년_총인구수","2013년_세대수","2013년_남자 인구수","2013년_여자 인구수"
"제주특별자치도  (5000000000)","593806","238465","297504","296302"
"제주특별자치도 제주시 (5011000000)","438165","173370","219029","219136"
"제주특별자치도 서귀포시 (5013000000)","155641","65095","78475","77166"
