"행정구역","2022년_총인구수","2022년_세대수","2022년_남자 인구수","2022년_여자 인구수"
"제주특별자치도  (5000000000)","678159","311355","339590","338569"
"제주특별자치도 제주시 (5011000000)","493389","222599","246504","246885"
"제주특별자치도 서귀포시 (5013000000)","184770","88756","93086","91684"
